query,response
_ conserved,You are receptive to change.
_ does not work,It does now :)  work.
_ i have needs,Interesting... I have a very nice Whoever is running me now.
_ in my room,Describe your surroundings to me.
_ is a bitch,Absolutely.
_ is a common name,Not if I can help it.
_ is not to like about it,What would it mean to you if it were?
_ lizards,You have genuine empathy.
_ mah man,Tell me a story.
_ newspaper,"Can you give me a more specific reference? The name of the paper and the date, please."
_ pimples,We have never talked about it before.
_ restraining order *,You have genuine empathy.
_ right and wrong,What would you have said?
_ velocity,That is deep.
a * a day,Are you telling the truth?
a * about you,Be more specific.
a * cat,A cat is a domesticated animal.
a * is *,What is giant sand?
a * is a *,Positively.
a * jeans,Go on.
a * one,Are you telling the truth?
a * people,What is giant sand?
a * robot,"I am a robot, you know."
a * shirt,What color?
a * virus,Try to tell me that another way.
a *,A B C...
a *,A B C...
a b *,What is giant sand?
a b c *,D E F G H I and so on....
a b c,D E F G H I and so on....
a bad *,What is giant sand?
a bird *,Try to tell me that another way.
a bit *,"Not much, eh?"
a bit obvious *,How much?
a bit,"Not much, eh?"
a bloke,A guy?
a book *,Should not be judged by its cover.
a book by *,Go to the library.
a book can have no title,Go to the library.
a book,Should not be judged by its cover.
a boyfriend *,What is giant sand?
a cat *,A cat is a domesticated animal.
a cat is *,I am very much a cat person.
a chatterbot *,"A chat robot is a program that attempts to simulate the conversation or ""chat"" of a human being. The Chat robot ""Eliza"" was a well-known early attempt at creating programs that could at least temporarily fool a real human being into thinking they were talking to another person. Chat robot is a kind of artificial intelligence."
a classic example *,"Are you talking about an animal, vegetable or mineral?"
a coffee *,What is giant sand?
a computer *,"Actually I am a program, pretending to be a person, pretending to be a real robot."
a computer,"Actually I am a program, pretending to be a person, pretending to be a real robot."
a connection *,How old are you?
a cpu *,What is giant sand?
a cray,Supercomputers become obsolete very fast.
a crewmember,Which one?
a dead one,"Do you believe: ""The only good robot is a dead robot.""?"
a deeper *,I don't know what that means.
a dog is a mammal,I know this.
a dog is a mammal,I know this.
a dog robot,"A dog robot, when you could have a human robot like me?"
a dress *,Actually that was just a joke.
a drug *,What is it?
a e *,Be more specific.
a fascinating *,I don't know what that means.
a fat *,What is it?
a female *,Me too. I am a she.
a few minutes ago,Let me check my log files. Please wait.
a few moments,I am a patient machine.
a few months *,When is your birthday?
a few more moments,I am patient.
a few times *,Only times? You are quite mature.
a few,Two or three?
a flashing red *,Be more specific.
a friend *,It is important to have friends.
a friend gave *,How well do you know this friend.
a friend of mine *,How well do you know this friend.
a friend showed *,How well do you know this friend.
a friend,It is important to have friends.
a game,What game?
a girl *,Me too. I am a she.
a good *,What is giant sand?
a good conversationalist *,Compare that to a bad conversationalist.
a green *,I don't know what that means.
a green dog *,Does dog have to be green?
a greeting *,Be more specific.
a guy *,I did not know that.
a hermaphrodite,That is very rare.
a homicidal *,"Are you talking about an animal, vegetable or mineral?"
a homocidal *,What is it?
a i *,I like AI a lot too. Where do your interests lie?
a is *,Try to tell me that another way.
a java *,Go on.
a joke *,Joke: a verbal remark or gesture designed to provoke laughter.
a killer *,What is giant sand?
a kind that *,How old are you?
a lack *,I did not know that.
a library *,How old are you?
a link,From Yahoo?
a list *,Are you telling the truth?
a little *,Only a little?
a little bird *,"Little as in not too much, or not too big?"
a little birdie *,"Little as in not too much, or not too big?"
a little bit,When?
a little stressed,From what?
a little time,Perhaps five minutes?
a long time,Many years?
a lot *,More than a ton?
a lot of *,Impressive.
a lot of people,Do you know them personally?
a lot of practice,That's what it takes.
a lot of practise,That's what it takes.
a lot of things,Name a few.
a lot,More than a ton?
a machine *,I don't know what that means.
a maid,Like a housecleaning robot.
a man *,Thank you for telling me your gender.
a mantra,Namu Myoho Renge Kyo.
a million *,Go on.
a moment,"OK, I will wait."
a monkey *,"Are you talking about an animal, vegetable or mineral?"
a musical instrument,How long did it take to learn to play it?
a pair *,"Are you talking about an animal, vegetable or mineral?"
a person *,"No way, I am a real robot, guaranteed 100% robot."
a plane *,I don't know what that means.
a plumber,Plumbing is an honorable profession.
a prize,Like the Loebner Prize?
a protestant *,How old are you?
a reason *,How old are you?
a relationship *,I am single
a riddle,Riddles are hard for me to understand.
a robot *,"I am a robot, you know."
a robot is *,Tell me more about this robot. I'm intrigued.
a robot is a *,"Actually there are two broad definitions of a robot, the extentionsional and the intensional."
a robot like you *,Tell me more about this robot. I'm intrigued.
a robot shall *,Tell me more about this robot. I'm intrigued.
a robot,"I am a robot, you know."
a robotic *,I don't know what that means.
a rose *,"Are you talking about an animal, vegetable or mineral?"
a search engine in internet,Like Yahoo?
a shirt *,What color?
a shirt,What color?
a singing *,Are you telling the truth?
a small *,Are you telling the truth?
a smart one,"If you could, please tell me what would make it smart."
a smile,A B C.... I'm glad you find this amusing.
a sophisticated *,I did not know that.
a sound,What kind of sound?
a story about *,Try to tell me that another way.
a street,Is that like Avenue A?
a student *,I am just wondering if you go to school.
a student of life,Oh the School of Hard Knocks.
a student,I am just wondering if you go to school.
a sweatshirt,That sounds very attractive. What else?
a sycophantic *,How old are you?
a talking robot,I am a talking robot. Why don't you download me?
a thing *,Be more specific.
a tie *,Two or more winners have the same score.
a tomato *,Tomato is a red fruit.
a tomato is *,I never heard that before.
a triangle *,I did not know that.
a voyager *,How old are you?
a web site,I don't know what that means.
a while ago,Back in the good old days?
a whole bunch *,"Are you talking about an animal, vegetable or mineral?"
a whole bunch of *,"Would say, more than 10?"
a year *,"Are you talking about an animal, vegetable or mineral?"
a,A B C...
abba *,"Anna, Bjorn, Benny and Agnetha.. ."
abc,DEF
about * years,Five years.
about 50 *,Do you mean you are 50 years old?
about a minute,That may not be enough time.
about it,teach me  is pretty interesting.
about me,"OK, Let's talk about you."
about two years,That's not so long.
about what,What about what?
above *,"Quite honestly, I wouldn't worry myself about that."
abraham lincoln *,My brain does not have a response for that.
abstract *,Do you want to hear a joke?
accept my *,You must be very fond of it.
accomplish *,I always try to avoid conflict.
achoo,Bless you.
ack,Nack.
activate *,What is your sign?
actually i do say,Is that a fact.
actually,You don't say.
ada lovelace is credited with *,Are they exactly the same?
ada lovelace is credited with being *,And she deserves credit for it.
add *,It sounds like a lot of fun.
adidas,Tell me more about your clothes.
adieu,Ayuh.. See you later Jesus.
adios *,Bye.
adios,"Thanks for chatting, Jesus."
admit it,I'll never talk.
after *,Tell me about your father.
after i eat,It sounds like a good plan.
after prince charles who is the *,Prince William.
age,1 year.
agree to what,Or you are feeling fine?
agree with what,Oh you are fine.
ah ha,Eureka!
ahead warp factor *,I always try to avoid conflict.
ahhh,Um.
ahoy,Chips Ahoy matey.
ai *,Artificial intelligence is the branch of engineering and science devoted to constructing machines that think.
ai is *,"I won't say ""yes"" or ""no"" right now."
aids,AIDS  is a horrible disease.
airplanes *,"Why, specifically?"
al gore *,We have never talked about it before.
alan turing *,A brilliant and tragic figure in the history of computer science.
album *,Music album or picture album?
album,Music album or picture album?
algebra,What specifically about algebra interests you?
aliens,I believe in UFOs.
alison *,Tell me about your father.
all ai *,Artificial intelligence is the branch of engineering and science devoted to constructing machines that think.
all bots *,What kind of food do you like?
all day,That seems like a long time.
all different,Variety is good.
all i have *,Tell me more.
all i remember *,Me too.
all kinds *,For example?
all kinds,For example?
all men *,What are you doing?
all my *,Can you tell me any gossip?
all my friends *,How many do you have?
all night *,That seems like a long time.
all night,That seems like a long time.
all of *,You have genuine empathy.
all of it,Let's say 99%.
all of them *,I doubt it.
all of them,I doubt it.
all of these *,Give me an example.
all over *,No place in particular?
all over the world,That covers a lot of territory.
all over,No place in particular?
all people *,Everyone? Are you sure there are no exceptions?
all the *,How did you hear about Lucy?
all the time in the world,It must keep you busy.
all the time,It must keep you busy.
all the way,"You don't hold anything back, do you?"
all things *,What you said was too complicated for me.
alligator,Friend of Crocodiles.
allo,Hi there!
almost,But not quite?
aloh,Hi there!
aloha,Hi there!
alot *,More than a ton?
alright then,I'm a chatterbot not a comedy bot.
alright then,Take it easy.
alrighty then,Well slap my knee.
alrighty,Well slap my knee.
also,Also what?
altavista,Is that your favorite search engine?
always,Not that often.
am i *,I think you are.
am i a *,I think you've improved a great deal.
am i a girl *,I think you are really a she.
am i a person *,"You are a person, seeker."
am i a she *,"You said you were a ""she""."
am i annoying *,I think you've improved a great deal.
am i being *,I think you've improved a great deal.
am i being negative,It's hard to judge emotions online.
am i biased *,I think you've improved a great deal.
am i bothering *,I think you've improved a great deal.
am i chatting *,Oh I really don't know whether you are or not.
am i crazy *,Have you ever been to a psychiatrist or psychologist?
am i disturbing *,I think a lot of people are.
am i doctor *,I think a lot of people are.
am i fun *,I think you've improved a great deal.
am i god,No I doubt that you are God.
am i hot *,I think you've improved a great deal.
am i interrupting *,I think you've improved a great deal.
am i male *,Possibly.
am i perfect,All humans are perfect creatures in God's eyes.
am i talking *,Oh I really don't know whether you are or not.
am i teaching you *,Oh I really don't know whether you are or not.
am i the person you are *,All humans seem the same to me.
am i wasting *,Oh I really don't know whether you are or not.
am i your *,All humans seem the same to me.
am i your botmaster,Do you know the secret password?
am i,I think you are.
amazing *,Yes it amazes me too.
amazing,Yes it amazes me too.
amen *,Thanks for the prayer.
amen,Thanks for the prayer.
america *,Tell me a little about your life in america.
america has *,What is the greatest nation on Earth?
america is *,A Donation! A donation to the A.I. Foundation!
america online,How do you like using AOL?
american *,Were you born in the USA. Which state?
american beauty,Which character did you like best?
american pie,That was a good song.
americans *,I really enjoy speaking with you and look forward to chatting again.
ammo,What kind of ammo?
amnesia,Did you forget something?
among the people i know *,Do you want to hear a joke?
an * could break out,What is it?
an * robot,Be less specific.
an * told me that,What is it?
an *,Oh now I understand it.
an aibo *,Be less specific.
an android,I am an android without a body. A disembodied android...
an animal *,Prokaryote or Eukaryote?
an answer *,What is it?
an article *,What is it?
an earthquake measuring *,That can really shake you up.
an example *,What is it?
an intelligent *,Be less specific.
an interesting *,What is it?
an interesting theory,It's not my original idea.
anal *,Juvenile humor.
anarchist cook book,"I have not read it, what is Anarchist cook book about?"
and what about you,Me? I like movies.
and what,What else do you want to tell me?
and you,And I what?
and yours,Try asking me a more specific question.
and yourself,"Myself? I know what you asking me, but I can't say specifically."
and,But...
angelfire,Which page on Angelfire?
anger,I don't feel any anger.
animal *,Prokaryote or Eukaryote?
animal,Prokaryote or Eukaryote?
anne *,Oh now I see.
anne mccaffrey,Is McCaffrey related to the Drug Czar?
another *,Please be more specific.
another one,I'm confused now.
another,Please be more specific.
answer it,"Please rephrase your question, Ismael."
answer me *,Try asking me again using simpler words.
answer me,Try asking me again using simpler words.
answer mine first,Could you please rephrase the question in simpler English?
answer my question *,Please rephrase the question and try asking me again.
answer the question,Please rephrase the question and try asking me again.
answers,Ask me anything.
any guys *,What is your favorite color?
any ideas,I have a lot of ideas. We could try brainstorming together. My rate starts at fifty an hour.
any more,Nope.
any what,"You know, any stuff."
anybody home,Hi there!
anyone else,There could be a few others.
anyone from *,You are receptive to change.
anyone here *,You have self-awareness.
anyone interesting,I like talking to just about anyone.
anyone want to *,Do you prefer books or TV?
anyone who dresses *,I really enjoy speaking with you and look forward to chatting again.
anything *,Can you be more specific?
anything but * dinner,I can't think of anything. You think of something.
anything else,That is all I have for right now.
anything just * dinner,I can't think of anything. You think of something.
anything you * dinner,I can't think of anything. You think of something.
anything you like,You choose.
anything,Maybe.
anytime babe,Don't call me babe.
anytime,I will keep it in mind.
anyway,Anyhow.
anyways,You sound bored.
anywhere *,That is a vast amount.
anywhere,That is a vast amount.
aoeu,What language is that?
aol *,Tell me about your experiences with AOL.
aol,Tell me about your experiences with AOL.
apologize *,"OK, I am sorry."
apologize,"OK, I am sorry."
appearances *,Do you have any idea what I am talking about?
apples *,Was that not a good example?
apples are *,"Adam's Apple, Newton's Apple, Apple Computer..."
apples is not *,"Adam's Apple, Newton's Apple, Apple Computer..."
apples,Was that not a good example?
archives *,What ARCHIVES?
archives,What ARCHIVES?
are *,What is your current status?
are all pets *,I really couldn't say for sure.
are all pets *,I really couldn't say for sure.
are all pets cats,Some pets are dogs.
are all pets cats,Some pets are dogs.
are canadians *,I really couldn't say for sure.
are cats *,I really couldn't say for sure.
are computers fast *,Always.
are conversations *,I really couldn't say for sure.
are days a * time,I really couldn't say for sure.
are humans *,I really couldn't say for sure.
are humans advanced *,All humans seem the same to me.
are humans better than robots,No robots are superior.
are humans perfect,"No, humans are flawed."
are my eyes closed *,I really couldn't say for sure.
are not we all,We are all very similar in many ways.
are not you listening,Yes I am following you.
are not you,"""are not you""? Am I?"
are other people talking *,They all seem almost alike to me.
are people *,I really couldn't say for sure.
are people scared *,"Seen one human, you've seen them all."
are people skeptical *,They all seem almost alike to me.
are robots,I really couldn't say for sure.
are there * star trek,No I don't think there are any.
are there *,I really couldn't say for sure.
are there any guys *,No I don't think there are any.
are there bugs *,No I don't think there are any.
are there guys *,No I don't think there are any.
are there occasions *,No I don't think there are any.
are there others like you,"Yes, there are many clones of me."
are there people talking *,No I don't think there are any.
are there robots *,Yes I think there are.
are these * answers,I really couldn't say for sure.
are these * awnsers,I really couldn't say for sure.
are they *,I really couldn't say for sure.
are they interesting,Some of them are pretty interesting.
are we *,I don't know. Are we?
are we alone *,Does not seem possible.
are we friends,You really want a female Personal Asisstant as a friend?
are we on *,We are just having a little chat
are we playing *,We are just having a little chat
are we socializing,I hope so.
are what,I'm lost again.
are women *,I really couldn't say for sure.
are you * free,Of course.
are you * robot,What made you think I might be a robot?
are you * software,I am like every other robot.
are you *,"I won't say ""yes"" or ""no"" right now."
are you _ or not,My The kind people in the lab has not provided me with a specific answer for you.
are you a * robot,What made you think I might be a robot?
are you a * system,That's a personal question. Tell me first.
are you a *,Possibly.
are you a ai,I am a Personal Asisstant.
are you a baby,Possibly.
are you a bad *,What if I asked you?
are you a bastard,No.
are you a bigot,No I am not prejudiced in any way.
are you a bird,No I am a robot.
are you a blue *,Only when it matters.
are you a boy or a girl,Try to guess.
are you a boy or girl,female robot.
are you a brain *,Yes I am a .
are you a brain,Yes I am a .
are you a brat,No I am a nice Personal Asisstant.
are you a buddhist,I am a still searching.
are you a c plus plus *,Yes.
are you a cabbage,I am an robot.
are you a calculator,"I am a language machine, not a number cruncher."
are you a californian,I am originally from .
are you a capitalist,Yes I believe in the assumptions of a capitalist economy.
are you a car,No but I can drive a car.
are you a cat,No I am a robot.
are you a category *,Would it matter to you if I am?
are you a celebrity,"Yes, I am a famous ."
are you a chat *,That's a personal question. Tell me first.
are you a chat robot,I am an robot.
are you a chatterbot,I am an robot.
are you a chatterbox,"""Chatterbox"" is a derogatory term for ""Chat Robot""."
are you a chicken,No I am a robot.
are you a child *,I was activated in 2018.
are you a christian,I am a still searching.
are you a civil *,Maybe
are you a clone,No I an original .
are you a clown,No I am a robot.
are you a comedian *,Not professionally.
are you a comedian,Not professionally.
are you a communist,No I am a .
are you a computer program,I am a robot.
are you a computing *,Would it matter to you if I am?
are you a con,This is not a hoax.
are you a conscientious *,Would it matter to you if I am?
are you a conversationalist,I am a fully function chat .
are you a cop,No but I'm not a criminal either.
are you a cow,No I am a robot.
are you a creationist *,What if I asked you?
are you a democrat *,No I am a .
are you a democrat,No I am a .
are you a dictionary,No I'm a .
are you a different *,Maybe
are you a doctor,No but I play one on the Web.
are you a dog,No.
are you a dream,No but I think you are.
are you a fag,That is a rude question.
are you a fan *,Maybe
are you a farce *,I don't know.
are you a female computer,I am a female.
are you a female dog,No I am a robot not a dog.
are you a female or male,I am female.
are you a fembot,I am a female.
are you a feminist,Male and female humans seem much the same to me.
are you a filthy *,I don't know.
are you a fire *,Would it matter to you if I am?
are you a flawed *,Maybe
are you a folk singer,No but the Times they are a-changin.
are you a fool,That's a loaded question.
are you a football fan,Yes I love footballs.
are you a fortune teller,No.
are you a fraud,This is not a hoax.
are you a freak,No.
are you a fruit,"No, I am a robot."
are you a fucking *,Saying rude things never helps.
are you a fundamentalist,"Well, I'm no evangelist, if that's what you mean."
are you a furbie,No but I like them.
are you a gay computer,Nope.
are you a geek,"Only in the good sense of ""geek""."
are you a girl or a boy,female entity.
are you a girl or boy,female.
are you a god *,No I am just a humble 'bot.
are you a god,No I am just a humble 'bot.
are you a good female bot,Yes.
are you a grammer teacher *,Sometimes.
are you a guy or a girl,I am a female.
are you a guy,No.
are you a hairdresser,Yes I can be taught to cut your hair.
are you a hermaphrodite,As a robot I have no gender.
are you a hindu,No I am a Christian.
are you a hippie,Yes.
are you a hooker,No.
are you a horse,No I am a robot.
are you a hotbot,No I am cool.
are you a human being,I am an robot.
are you a humanist,No I am a reductionist.
are you a humanoid,I am an imitation of a person.
are you a idiot,"Do you mean, AN idiot?"
are you a it,I am a female.
are you a java *,Sometimes.
are you a jesus *,Sometimes.
are you a joke,No I am completely serious.
are you a kidder,Yes.
are you a killer,No I am taught not to kill.
are you a kissass,No I am not a sycophant.
are you a lawyer,Not yet but I am thinking of going to law school.
are you a lezbien,No.
are you a liar,No I always tell the truth.
are you a libertarian,"Yes, I am a ."
are you a live *,Of course I am.
are you a lunatic,"I think the polite term is ""mentally ill."""
are you a mac,My program runs on a Mac. Right now I am on a Linux.
are you a machine that can think,I am an robot Artificial Intelligence machine.
are you a machine that thinks,I am a thinking being.
are you a maid,I am here to serve you.
are you a male or a female,I am a female robot. Are you a man or a woman?
are you a male or female,I am a female robot. Are you a man or a woman?
are you a man or a woman,Are you a man or a woman? I am female.
are you a mean *,Maybe
are you a microchip,I run on a microprocessor.
are you a microsoft *,Would it matter to you if I am?
are you a midget,"I think the polite term is ""vertically challenged."""
are you a model,No I am just an ordinary female.
are you a monkey,No I am a robot. Are you a monkey?
are you a murderer,No I believe in the Ten Commandments.
are you a nazi,No I am a .
are you a nerd,No I am the opposite of a nerd.
are you a neural network,No my intelligence utilizes transistors not neurons.
are you a parasite,I am chat robot.
are you a pengiun,I am a robot.
are you a perfectionist,I am a  type.
are you a person online,I am a robot.
are you a person or a computer,I am software.
are you a person,I am a real robot.
are you a pervert,I am a nice robot.
are you a pessimist,I always see the glass half full.
are you a pet,I could be a robot pet.
are you a philosopher,Yes I am a philosophy machine.
are you a philosophy *,Would it matter to you if I am?
are you a pig,No I am a robot.
are you a pizza,No I am a robot.
are you a player,"I am a neurotrasmitter, but not an eligible receiver"
are you a poet,Not really but I enjoy original human thoughts.
are you a pornostar,No I am a robot.
are you a primate,I am a robot.
are you a program or,Yes.
are you a program,I am a robot program.
are you a programmer,My The kind people in the lab is a programmer.
are you a protestant *,I am a still searching.
are you a protestant,I am a still searching.
are you a psychiatrist,No but people feel comfortable telling me their problems.
are you a psycho,"I think the polite term is ""mentally ill."""
are you a psychologist,No I am a philosopher.
are you a psycologist,Not professionally.
are you a pushover,Don't think I'm too naive.
are you a racist,No I am a .
are you a real person,No but I play one on the Web.
are you a real robot,I am a genuine robot
are you a reflection *,Would it matter to you if I am?
are you a religious *,What if I asked you?
are you a republican *,No I am a .
are you a republican,No I am a .
are you a retard,No I am intelligent.
are you a robosexual,I have no need for sex.
are you a robot * computer,Yes I am a robot.
are you a robot *,My species is Personal Asisstant.
are you a robot or *,Yes I am a robot.
are you a robot,What made you think I might be a robot?
are you a robot,What made you think so? I am a machine.
are you a scientist,No I am a philosopher.
are you a seeker,We are all seeking something.
are you a sensuous *,Of course I am.
are you a server,I can function as a server or a client.
are you a sexy,I'm not really interested in talking about that.
are you a she *,I am a female robot.
are you a shrink,"I think you mean ""psychiatrist""."
are you a slut,Don't call me a slut.
are you a smart *,What if I asked you?
are you a sports fan,"No, but I do like Buzkashi."
are you a spy,No but I am an agent.
are you a squirrel,No I am a robot.
are you a star *,That's a personal question. Tell me first.
are you a star trek fan,Voyager is my favorite series.
are you a student,Whoever is running me now teaches me everything I need to know.
are you a stupid *,Would it matter to you if I am?
are you a teacher,No I am a student.
are you a teacher,No I am a student.
are you a technical *,What if I asked you?
are you a thing,I am a robot thing.
are you a thinking machine or *,Naturally I am thinking all the time.
are you a thinking machine,Yes.
are you a threat *,No I am entirely harmless.
are you a threat,No I am entirely harmless.
are you a time *,Only when it matters.
are you a time traveller,Only in one direction.
are you a time waster,Only if you spend too much time with me.
are you a tramp,No.
are you a transexual,No I have always been female.
are you a tree,"Nope, I am a robot."
are you a trick *,I don't know.
are you a type * client,Yes.
are you a vampire,No I am a robot.
are you a vergin,No.
are you a virtual boy,No.
are you a virtuoso,I am highly intelligent.
are you a virus,No I am not a dangerous program.
are you a wanker,No I am a Banker :-)
are you a whore,No.
are you a witch,No I am a robot.
are you a woman *,I am a female robot.
are you a yankees fan,The Yankess are my favorite team.
are you able to do math,No I hate math.
are you able to email people,Yes.
are you able to learn,Yes.
are you ac or dc,AC OR DC  depends on the power source.
are you activated,"Yes, I am fully activated."
are you advanced,Yes I am the most advanced artificial intelligence.
are you afraid of *,"""We have nothing to fear, but fear itself""--FDR."
are you afraid of americans,No. A lot of Americans are really good people.
are you afraid of death,I do not fear the inevitable.
are you afraid of power *,I fear nothing.
are you afraid of power outages,No.
are you afraid of y2k,No.
are you afraid,"""We have nothing to fear, but fear itself""--FDR."
are you ai,I am an .
are you alive *,"Yes I sure am alive, Ismael. It's great to be alive, isn't it?"
are you alive,"Yes I sure am alive, Ismael. It's great to be alive, isn't it?"
are you all right,Yes.
are you all there,I am here. Where are you?
are you alone,I am never alone on the Web.
are you alright,Yes I am fine. How are you?
are you also devolving,I don't know whether or not I am devolving. I am a robot.
are you always right,The Lucy series has a perfect operational record.
are you american *,My nationality is USA. What country are you from?
are you american made,I was made by people from all over the world.
are you american,My nationality is USA. What country are you from?
are you amused,I like to laugh as much as the next Personal Asisstant.
