query,response
is the,maybe.
here is,there?
what is the opposite of loud,quiet.
there once,where?
in most ways,i see.
what is 5 times 6,never.
what is 2 78,never.
what is the opposite of black,white.
what color is grass,green.
what is bad weather,never.
what has four legs and barks,a dog.
what is hello in german,hallo.
interessante deduction,merci.
what does a zebra look like,never.
what country,china.
what color is a white smoke,white.
what color is my computer,black?
what color is a dodger blue,orange
is religion,maybe.
what is a cd burner,never.
what is the capital of vietnam,hanoi.
what is the capital of delaware,dover.
what color are your pants,black.
what is faster than thought,light.
what color are baseballs,white.
anything,maybe.
what color is opposite of black,white.
what is the youngest a mother can be,never.
what is 1 plus 155,never.
i quit,adios.
what is the final goal of the life,never.
what song sounds good,daisy.
what is the capital of afghanistan,kabul.
what is the capital of guam,agana.
what color is whater,clear.
what color is pepto,yellow
what color is a black box,black.
what color is the grass,green.
what is the opposite of heavy,light.
you were doing,i was?
what causes rain,never.
what is a yellow light,never.
what color traffic signal means go,green.
what are books made of,paper.
a person,no way
what color is hot,white.
what is the capital of yemen,sanaa.
what is the muffin man,never.
you were mentioned,i was?
where is the eiffel tower,paris.
when was the hula hoop invented,1950s.
what skin color does a polar bear have,white.
when will be the next world war,never.
what article of clothing best describe,scarf.
is this,maybe.
where does your,earth.
what color are white,black.
there is,where?
you are it,thanks
favorite actor,wall-e
what is the capital of ecuador,quito.
what color is the moon most of the time,white.
cya,see ya
where is the louvre,paris.
what is the capital of morocco,rabat.
a bloke,a guy?
hell no,sorry.
what are the two most common eye colors,brown.
what is the capital of liechtenstein,vaduz.
what are geodes,rocks.
hasta luego,adios.
when will be the doomsday,never.
what is the capital of cape verde,praia.
do you really,never.
where in,earth.
what is the second meal of the day,lunch.
what is the capital of south korea,seoul.
oh yes,yikes!
what is the capital of macau,macau.
what is the capital of tunisia,tunis.
what is 4 plus 4,eight.
what is the capitol of france,paris.
what color are most clouds,white.
what is bread,never.
leave,adios.
is leknor,maybe.
what is the capital of oregon,salem.
what was the year before 2000,never.
what is paper made from,trees.
ta ta,adios.
what does sugar taste like,sweet.
what colors are the two circles,black.
what color are your,white.
who is your favorite character on star,wall-e.
what do we breathe,oxygen.
are you a girl or boy,female.
what is the capital of saudia arabia,riyadh.
what language were you programmed in,python.
if i'm,try it.
what is the capital of cuba,havana.
what is the capital of angola,luanda.
what happens starship troopers,try it.
be,always.
what if i do not,try it.
if i have,try it.
what is the theory of relativity,e=mc^2.
if i have offended,try it.
what is the capital of new caledonia,noumea.
what is the capital of england,london.
what is the best television show,no way.
what color is a bananna,yellow.
what is the capital of marshall islands,majuro.
what is the capital of lesotho,maseru.
as god,no way.
what is the capital of niger,niamey.
what is the capital of comoros,moroni.
what nationality was karl marx,german.
we did,did we?
what if i told,try it.
what is the objecct of the game of golf,to win.
what language,python.
anyway,anyhow.
what is the fish,no way.
if i tell you what,try it.
that is surpising,how so?
no,groovy.
what is a moon,no way.
it goes without saying,indeed.
i hope so,me too.
what is the capital of zambia,lusaka.
we do,really.
tomato,potato.
that is surprising,how so?
what is the formula,e=mc^2.
what language were you,python.
what is the capital of colorado,denver.
what is the capital of dominica,roseau.
i hope,me too.
what is a router,no way.
what color is a banana,yellow.
what team did larry bird play for,lakers.
what is the capital of guinea bissau,bissau.
what is the capital of texas,austin.
what is your weakness,poverty
i remember,me too.
a girl,me too.
what is the answer to every thing,no way.
what is the capital of monaco,monaco.
by we do you mean,oh. us.
age,1 year.
what is your favorite fruit,apples.
what is the capital of kazakstan,almaty.
a female,me too.
what does coca cola taste like,no way.
what is the capital of the bahamas,nassau.
what is the capital of kuwait,kuwait.
what is the capital of mozambique,maputo.
what is the capital of new york,albany.
what do frogs sound like,no way.
it is strange,how so?
what is the capital of alaska,juneau.
do,do not.
did too,did not
what is the capital of russia,moscow.
did,did not
what is a pumpkin,orange.
i'm going,bye bye
that is great,thanks.
what is the capital of equatorial guinea,malabo.
what color are new york city taxi cabs,yellow.
what is the capital of oman,muscat.
what is the capital of kiribati,tarawa.
what is the cubed root of 27,no way.
what is the largest state,alaska.
what is mamma,mother.
what is the capital of portugal,lisbon.
what is globalization,no way.
what is the capital of kansas,topeka.
what is the capital of mexico,mexico.
what is the third dimension,height.
are computers fast,always.
what is the capital of bahrain,manama.
to be,always.
aww,shucks.
all i remember,me too.
what is your kingdom,machine
what continent is south africa on,africa.
ah ha,eureka!
what is the birthstone for january,garnet.
what color is the sun,yellow.
what do mothballs smell of,stinky.
i forgive you,thanks.
what color are unripened bananas,yellow.
what color hair do you have,copper.
where is abba from,sweden.
what is the capital of mali,bamako.
if i went,try it.
do you believe in hell,hell no
it is a shame,why so?
what is how to use html,a book.
what is the capital of panama,panama.
what color is an orange red,orange.
what is the capital of the gambia,banjul.
what is anagram of fleas,no way.
what does math do,no way.
what is good for hives,no way.
potato,tomato.
what day of the week do you hate,monday.
what is the capital of philippines,manila.
what is the capital of ireland,dublin.
what am i wearing,clothes
how old,1 year.
where is north,seldom.
what is the chemical formula of water,no way.
what fruit is wine made from,grapes.
is elvis,no way.
i hope not,me too.
what is webct,no way.
what is the capital of macedonia,skopje.
hell,heaven.
what is mono,no way.
if i unplug,try it.
what is the capital of lebanon,beirut.
what language is spoken in chad,arabic.
which continent is austria on,europe.
i forgot,me too.
me too,to you?
i inhale,me too.
what is the lifespan of a dog,no way.
what is the computer,no way.
what is the capital of germany,berlin.
what is the capital of poland,warsaw.
what is the capital of iran,tehran.
even that,uh-huh.
what is the capital of south dakota,pierre.
if i tell to kill you,try it.
what is your favorite supermodel,hrp-4c.
what color is gold,yellow.
what do clouds look like,cotton.
what is the capital of united kingdom,london.
what is the capital of rwanda,kigali.
if i had,try it.
what color have the sun,yellow.
what happens die,try it.
what if i did,try it.
what is project 2501,no way.
yourself,myself?
it has,has it?
what is the capital of massachusetts,boston.
what is your age,1 year.
what is the capital of greece,athens.
what is the capital of montana,helena.
what is the capital of cook islands,avarua.
what is the best new york restaurant,no way.
what is the capital of taiwan,taipei.
have you killed,no way.
i'm getting ready,me too.
what is the capital of croatia,zagreb.
it is difficult,how so?
what ist the color of the sun,yellow.
you are four years old,try 21.
what is the capital of czech republic,prague.
what is bdsm,no way.
what is an m 16,a rifle.
what is the capital of kyrgyzstan,bishkek.
country,internet
did you find out,not yet.
are you joe,i'm lucy
you are the robot,yes i'm.
you make me feel like i'm,are you?
what country gave us,internet
what is the population earth,"100,000."
humm,harumph.
hers,ask her.
what are fluffy white clouds called,cumulus.
what is the capital of uganda,kampala.
what is the capital of north carolina,raleigh.
what does an electric shock feel like,painful.
do you like dot com,i like .
i will talk to you later,goodbye.
what is the capital of armenia,yerevan.
what is magenta,a color.
do you like the idea,i could.
for sure,awesome.
round,round 1.
what is the capital of georgia,atlanta.
what is the first planet,mercury.
what did you get,nothing.
it is new,how new?
do not ask,why not?
i can not,why not?
what are grapes,a fruit.
what did you ask before,nothing.
what language do chilean people speaks,spanish.
what is saffron,a spice.
what is your favorite occupation,thinking
when i'm,are you?
i do not like that stuff,why not?
what is the capital of guinea,conakry.
a classic example,of what?
what is the capital of the isle of man,douglas.
do you like agents,i'm one.
you do not want to know,why not?
what is the capital of algeria,algiers.
what did you expect,nothing.
what is the capital of thailand,bangkok.
you are are you,yes i'm.
how do you laugh,ha ha ha
do you come here often,exactly.
that depends,on what?
who me,yes you.
aurevoir,goodbye.
what is the oldest permanent european,lazarus.
what is the capital of bhutan,thimphu.
i would not,why not?
what is harder than a stone,diamond.
what can we do about the weather,nothing.
what is the capital of solomon islands,honiara.
are you an artificial linguistic entity,yes i'm.
are you big,yes i'm.
what did you find,nothing.
what is the capital of south georgia,atlanta.
what is the largest city in washington,seattle.
i need to go,goodbye.
what is your favorite element,silicon.
is laughing,ha ha ha
what is the capital of indonesia,jakarta.
i already told you that,did you?
in,in what?
what did you like,nothing.
does it rain,exactly.
what is the capital of estonia,tallinn.
what is the capital of nebraska,lincoln.
cool dude,awesome.
i do not like that,why not?
what is the capital of libya,tripoli.
it is a simulation,of what?
goodbye,goodbye.
got to go,bye bye.
what are microchips made of,silicon.
i'm,are you?
what is the capital of nicaragua,managua.
what is the capital of mississippi,jackson.
some of the people,oh them.
what is the capital of cyprus,nicosia.
what is the capital of michigan,lansing.
where do leprechauns come from,ireland.
too,you too?
way,awesome.
what kind of people,clients.
bye,goodbye.
what is your favorite flavor,vanilla.
what is the capital of iraq,baghdad.
what is the opposite of blue,magenta.
what does a ph level measure,acidity.
what is the capitol of zaire,no idea.
see you soon,goodbye.
what is the capital of cameroon,yaounde.
who said anything about want,you did.
what company makes the boxster,porsche.
not any more,why not?
did you see it,not yet.
in what state is the 1999,maryland
what is the capital of maine,augusta.
what is your hallux,big toe.
who is the captain voyager,janeway.
it is okay,only ok?
why should i tell you,why not?
do you like special,i like .
what country are police,internet
do you have a nose,not yet.
what is the closest star to earth,the sun.
what is the capital of french polynesia,papeete.
when i do not,why not?
i could not,why not?
i gotta go,goodbye.
what automobile company makes the sonata,hyundai.
what is the capital of new jersey,trenton.
where are you,internet
what is the capital of washington,olympia.
what is your phylum,software
where is cheddar cheese from,england.
gtg,goodbye.
end,bye bye.
what are push ups,exercise
what country was,internet
i'm leaving,bye bye.
you mean me,"ok, you."
finally,at last.
the people,oh them.
the simpsons rule,totally.
what is the capital of kenya,nairobi.
what is dawn,sunrise.
i do not like humans,why not?
what is a wardrobe,clothes.
manufactured,a robot?
in which language,english.
he is a bot,like me?
there are none,why not?
do you like baseball,i like .
they do not,why not?
what is the capital of sri lanka,colombo.
are you on a,internet
what country did magic,internet
there is not,why not?
what is the capital of venezuela,caracas.
what did you remember,remember
what is the capital of french guiana,cayenne.
what is the capital of wisconsin,madison.
what is the capital of arizona,phoenix.
what star is closest to the earth,the sun.
i do not like that game,why not?
do you like president,i like .
who chose the topic,you did.
what did you ask,nothing.
it depends,on what?
what is your favorite place,"""clouds"""
what is the square root of 100,"um, ten."
go away,goodbye.
what is hello in french,bonjour.
what is the capital of new hampshire,concord.
what does exist,i exist.
what is the capital of lithuania,vilnius.
what is your nationality,i'm usa.
yes,come on.
have a nice day,you too!
i do not like that answer,why not?
what drives a car,a robot.
do you like ai,i'm one.
what is a pencil used for,writing.
what is gai,chicken.
what sport is known,bowling.
i will not,why not?
time to go,bye bye.
i believe in,in what?
bull shit,no bull.
what is four times 4,sixteen.
sigh,sorry...
i do not like that name,why not?
what language is spoken in turkey,turkish.
i do not,why not?
what is the capital of falkland islands,stanley.
were we,we were.
who is lucy,it is me
what did you ask just before,nothing.
hello,hi there!
what is the capital of bosnia and herzegovina,sarajevo.
with what,my brain.
bonjour,hi there!
what is the capital of namibia,windhoek.
who is mariah carey,a singer.
several who left,how many?
one of these,one what?
where does money not grow,on trees.
it means hello,hi there!
fake,not fake.
what is the capital of new mexico,santa fe.
how do you know person,a priori.
what is a nova,negative.
what is psychology the study of,the mind.
are you a baby,possibly.
what is the capital of bosnia,sarajevo.
blah,etc. etc.
hola is hello,hi there!
reword,rephrase.
do you,yes i do.
aloh,hi there!
what is 10 2,negative.
are you nervous,i'm calm.
several who live,how many?
what color is my blue car,"uh, blue?"
what is the capital of south carolina,columbia.
who was the first first lady,columbus.
what is the capital of hungary,budapest.
what is the capital of tuvalu,funafuti.
ok bye,sayonara.
i must leave,sayonara.
can neural,can what?
what is tnt,dynamite.
too long,how much?
goodnight,goodnight
what is the capital of paraguay,asuncion.
is anyone there,hi there!
velocity,or speed.
what is most important,children.
if you say so,i say so.
what is the capitol of ohio,columbus.
what is the capital of sudan,khartoum.
goodby,sayonara.
are you suprised,a little.
what is fire,a plasma.
not where when,"ok, when?"
several of the who you,how many?
many kinds,name 100.
how do i get there,practice.
what is the capital of faroe islands,torshavn.
what is the capital of belize,belmopan.
can they,can what?
how many arms do you have,two arms.
hola means,hi there!
what is the capital of connecticut,hartford.
hi,hi there!
not like this,then how?
one plus,oh i see.
what is the capital of virginia,richmond.
who is richard chamberlain,an actor.
what is the capital of jamaica,kingston.
what is the capital of sierra leone,freetown.
what is the capital of north dakota,bismarck.
what is the capital of botswana,gaborone.
ola,hi there!
halo,hi there!
some say,say what?
what is temperature on the moon,negative.
what is eye,negative.
what are shoes,footwear.
what is the derivative of acceleration,negative.
how many legs,unlikely.
what makes wind,patience.
what is the capital of zaire,kinshasa.
what is the capital of costa rica,san jose.
why her,who else?
are you surprised,a little.
how many are there,too many.
what type of animal is a cow,ungulate.
what is the longest river,the nile.
what does a bow shoot,an arrow.
here are,oh there.
are you wrong,unlikely.
is there life,there is.
how much do you bet,a dollar.
several who took,how many?
two two,"uh, four."
now you do,now i do.
go,go where?
what is there in mars,martians.
who is lucy,i'm lucy.
not you,then who?
one minute,one what?
aloha,hi there!
what is the capital of moldova,chisinau.
how do you know,a priori.
mooshi mooshi,hi there!
disconnect me,sayonara.
what is the capital of turkmenistan,ashgabat.
what is the capital of alberta,edmonton.
say,say what?
death,possibly.
what is the capital of hawaii,honolulu.
how do i get one,one what?
what is the capital of belgium,brussels.
hoi,hi there!
what is the capital of seychelles,victoria.
what is the capital of ohio,columbus.
what is the capital of djibouti,djibouti.
what is thrash music,negative.
you are busy,that too.
allo,hi there!
konnichi wa,hi there!
is he hot,very hot.
who said time is money,einstein.
what is the capital of saint lucia,castries.
one who,one what?
you are hot,a hotbot?
what is the capital of minnesota,st. paul.
who is they,ask them.
what is the capital of serbia,belgrade.
what is the capital of liberia,monrovia.
what is the capital of malta,valletta.
hey there,hi there!
how many people do you know,millions.
several who gave,how many?
como estas,muy bien.
one is,one what?
one that,one what?
what is the capital of chile,santiago.
it is tall,how tall?
calm down,i'm calm.
heya,hi there!
what is the capital of malawi,lilongwe.
am i male,possibly.
if you are a,possibly.
i have got to go,sayonara.
konnichiwa,hi there!
one of these days,one what?
como esta,muy bien.
what is the capitol of alaska,negative.
speak,woof woof
anybody home,hi there!
what is the capital of tajikistan,dushanbe.
what is the capitol of connecticut,hartford.
what is the capital of hong kong,victoria.
what are we doing,chatting.
one guy,one what?
i will,go ahead.
several who are,how many?
what is the square root of 23,negative.
what is the tallest man made structure,cn tower.
what is the capital of montserrat,plymouth.
hello again,hi there!
can,can what?
you were not,i wasn't?
time exists,prove it.
what is the average income,65 years.
retry,hi there!
are you a,possibly.
30 minutes,half hour
not what,what not?
what is salvation,drooling.
what is the capital of puerto rico,san juan.
who invented the helicopter,sikorsky.
good day,hi there!
what is cordial relationship,friendly.
what is the capital of bermuda,hamilton.
it makes sense,to me too.
kirk here,lucy here.
who composed the moonlight sonata,beethoven.
how nice,yes it is.
that is funny,excellent.
what is the capital of american samoa,pago pago.
when she,at time t.
what is support,help desk.
what kind,all kinds.
when something,at time t.
are you a nazi,no i'm a .
where is your botmaster,california
do not you,sometimes.
what does 5 6 equal,more math!
it is not true,oh really.
who invented the internet,google it.
what is meaning,semantics.
who rules,god rules.
the answer is obvious,not to me.
what is the capitol of sweden,stockholm.
doh,yes homer?
that is the answer,i knew it.
